;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8175/1320.jpg;Toyota Camry XV40 · Рестайлинг;2010 г.автомат, 3.5 л, бензин, седан341 000 км;34 643 р.;≈ 10 950 $;Лида;2 дня назад
1;https://avcdn.av.by/advertpreview/0002/8230/3086.jpg;Opel Zafira B · Рестайлинг, 7 мест;2010 г.механика, 1.7 л, дизель, минивэн242 000 км;33 061 р.;≈ 10 450 $;Сморгонь;6 дней назад
2;https://avcdn.av.by/advertpreview/0002/8325/1378.jpg;Citroen Nemo;2010 г.механика, 1.4 л, дизель, минивэн221 365 км;25 784 р.;≈ 8 150 $;Солигорск;2 дня назад
3;https://avcdn.av.by/advertpreview/0002/7774/2607.jpg;BMW X5 E70 · Рестайлинг;2010 г.автомат, 3.0 л, дизель, внедорожник 5 дв.190 000 км;72 762 р.;≈ 22 999 $;Минск;вчера
4;https://avcdn.av.by/advertpreview/0002/8097/7796.jpg;Daewoo Nexia I · 2-й рестайлинг;2010 г.механика, 1.5 л, бензин, седан200 000 км;5 695 р.;≈ 1800 $;Минск;10 января
5;https://avcdn.av.by/advertpreview/0002/7662/6312.jpg;Skoda Fabia 5J;2010 г.механика, 1.4 л, бензин, хэтчбек 5 дв.296 000 км;18 919 р.;≈ 5 980 $;Минск;15 часов назад
6;https://avcdn.av.by/advertpreview/0002/8041/0554.jpg;Opel Insignia I;2010 г.механика, 1.6 л, бензин, лифтбек280 000 км;27 651 р.;≈ 8 740 $;Минск;15 часов назад
7;https://avcdn.av.by/advertpreview/0002/8367/0309.jpg;Volkswagen Passat CC I;2010 г.робот, 2.0 л, бензин, седан267 000 км;30 024 р.;≈ 9 490 $;Минск;8 часов назад
8;https://avcdn.av.by/advertpreview/0002/8252/3319.jpg;Nissan Qashqai I · Рестайлинг;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.218 546 км;39 227 р.;≈ 12 399 $;Гродно;9 часов назад
9;https://avcdn.av.by/advertpreview/0002/8204/7078.jpg;Nissan Qashqai I · Рестайлинг;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.198 376 км;39 192 р.;≈ 12 388 $;Гродно;9 часов назад
10;https://avcdn.av.by/advertpreview/0002/8123/7934.jpg;Nissan Qashqai I;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.233 459 км;33 535 р.;≈ 10 600 $;Гродно;9 часов назад
11;https://avcdn.av.by/advertpreview/0002/8361/8210.jpg;Peugeot 308 T7;2010 г.механика, 1.6 л, бензин, хэтчбек 5 дв.82 000 км;20 880 р.;≈ 6 600 $;Минск;13 часов назад
12;https://avcdn.av.by/advertpreview/0002/8223/2704.jpg;Audi A7 4G;2010 г.автомат, 3.0 л, дизель, лифтбек210 000 км;64 856 р.;≈ 20 500 $;Минск;вчера
13;https://avcdn.av.by/advertpreview/0002/8191/4532.jpg;BMW X5 E70, 7 мест;2010 г.автомат, 3.0 л, дизель, внедорожник 5 дв.270 900 км;61 692 р.;≈ 19 500 $;Минск;вчера
14;https://avcdn.av.by/advertpreview/0002/7674/5988.jpg;Skoda Fabia 5J · Рестайлинг;2010 г.механика, 1.2 л, бензин, универсал187 000 км;21 197 р.;≈ 6 700 $;Минск;вчера
15;https://avcdn.av.by/advertpreview/0002/3161/8260.jpg;Hyundai i30 FD · Рестайлинг;2010 г.механика, 1.4 л, бензин, хэтчбек 5 дв.222 000 км;22 146 р.;≈ 7 000 $;Гомель;2 дня назад
16;https://avcdn.av.by/advertpreview/0002/7191/7912.jpg;MINI Cooper R56;2010 г.автомат, 1.6 л, бензин, хэтчбек 3 дв.260 800 км;28 157 р.;≈ 8 900 $;Минск;вчера
17;https://avcdn.av.by/advertpreview/0002/8068/1379.jpg;BMW 5 серия F07 (GT);2010 г.автомат, 3.0 л, дизель, лифтбек280 000 км;60 110 р.;≈ 19 000 $;Минск;13 часов назад
18;https://avcdn.av.by/advertpreview/0002/8175/1320.jpg;Toyota Camry XV40 · Рестайлинг;2010 г.автомат, 3.5 л, бензин, седан341 000 км;34 643 р.;≈ 10 950 $;Лида;2 дня назад
19;https://avcdn.av.by/advertpreview/0002/7662/6312.jpg;Skoda Fabia 5J;2010 г.механика, 1.4 л, бензин, хэтчбек 5 дв.296 000 км;18 919 р.;≈ 5 980 $;Минск;15 часов назад
20;https://avcdn.av.by/advertpreview/0002/8041/0554.jpg;Opel Insignia I;2010 г.механика, 1.6 л, бензин, лифтбек280 000 км;27 651 р.;≈ 8 740 $;Минск;15 часов назад
21;https://avcdn.av.by/advertpreview/0002/8367/0309.jpg;Volkswagen Passat CC I;2010 г.робот, 2.0 л, бензин, седан267 000 км;30 024 р.;≈ 9 490 $;Минск;8 часов назад
22;https://avcdn.av.by/advertpreview/0002/8252/3319.jpg;Nissan Qashqai I · Рестайлинг;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.218 546 км;39 227 р.;≈ 12 399 $;Гродно;9 часов назад
23;https://avcdn.av.by/advertpreview/0002/8204/7078.jpg;Nissan Qashqai I · Рестайлинг;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.198 376 км;39 192 р.;≈ 12 388 $;Гродно;9 часов назад
24;https://avcdn.av.by/advertpreview/0002/8123/7934.jpg;Nissan Qashqai I;2010 г.механика, 1.5 л, дизель, внедорожник 5 дв.233 459 км;33 535 р.;≈ 10 600 $;Гродно;9 часов назад
25;https://avcdn.av.by/advertpreview/0002/8361/8210.jpg;Peugeot 308 T7;2010 г.механика, 1.6 л, бензин, хэтчбек 5 дв.82 000 км;20 880 р.;≈ 6 600 $;Минск;13 часов назад
26;https://avcdn.av.by/advertpreview/0002/8223/2704.jpg;Audi A7 4G;2010 г.автомат, 3.0 л, дизель, лифтбек210 000 км;64 856 р.;≈ 20 500 $;Минск;вчера
27;https://avcdn.av.by/advertpreview/0002/8230/3086.jpg;Opel Zafira B · Рестайлинг, 7 мест;2010 г.механика, 1.7 л, дизель, минивэн242 000 км;33 061 р.;≈ 10 450 $;Сморгонь;6 дней назад
28;https://avcdn.av.by/advertpreview/0002/8191/4532.jpg;BMW X5 E70, 7 мест;2010 г.автомат, 3.0 л, дизель, внедорожник 5 дв.270 900 км;61 692 р.;≈ 19 500 $;Минск;вчера
29;https://avcdn.av.by/advertpreview/0002/7674/5988.jpg;Skoda Fabia 5J · Рестайлинг;2010 г.механика, 1.2 л, бензин, универсал187 000 км;21 197 р.;≈ 6 700 $;Минск;вчера
30;https://avcdn.av.by/advertpreview/0002/8325/1378.jpg;Citroen Nemo;2010 г.механика, 1.4 л, дизель, минивэн221 365 км;25 784 р.;≈ 8 150 $;Солигорск;2 дня назад
31;https://avcdn.av.by/advertpreview/0002/3161/8260.jpg;Hyundai i30 FD · Рестайлинг;2010 г.механика, 1.4 л, бензин, хэтчбек 5 дв.222 000 км;22 146 р.;≈ 7 000 $;Гомель;2 дня назад
32;https://avcdn.av.by/advertpreview/0002/7774/2607.jpg;BMW X5 E70 · Рестайлинг;2010 г.автомат, 3.0 л, дизель, внедорожник 5 дв.190 000 км;72 762 р.;≈ 22 999 $;Минск;вчера
33;https://avcdn.av.by/advertpreview/0002/8097/7796.jpg;Daewoo Nexia I · 2-й рестайлинг;2010 г.механика, 1.5 л, бензин, седан200 000 км;5 695 р.;≈ 1800 $;Минск;10 января
34;https://avcdn.av.by/advertpreview/0002/7191/7912.jpg;MINI Cooper R56;2010 г.автомат, 1.6 л, бензин, хэтчбек 3 дв.260 800 км;28 157 р.;≈ 8 900 $;Минск;вчера
35;https://avcdn.av.by/advertpreview/0002/8068/1379.jpg;BMW 5 серия F07 (GT);2010 г.автомат, 3.0 л, дизель, лифтбек280 000 км;60 110 р.;≈ 19 000 $;Минск;13 часов назад
36;https://avcdn.av.by/advertpreview/0002/8003/7105.jpg;Volkswagen Passat B6;2010 г.механика, 1.8 л, бензин, универсал350 000 км;27 682 р.;≈ 8 750 $;Гомель;5 января
37;https://avcdn.av.by/advertpreview/0002/0475/5620.jpg;Daewoo Matiz M150 · Рестайлинг;2010 г.механика, 0.8 л, бензин, хэтчбек 5 дв.120 000 км;5 695 р.;≈ 1800 $;Орша;22 мая 2023
38;https://avcdn.av.by/advertpreview/0002/8351/3622.jpg;Nissan Teana II (J32);2010 г.вариатор, 2.5 л, бензин, седан190 000 км;30 055 р.;≈ 9 500 $;Гродно;вчера
39;https://avcdn.av.by/advertpreview/0002/6956/1763.jpg;Acura TSX II;2010 г.автомат, 2.4 л, бензин, седан167 000 км;38 914 р.;≈ 12 300 $;Могилев;3 декабря 2023
40;https://avcdn.av.by/advertpreview/0002/3030/9874.jpg;Mercedes-Benz E-Класс W212, S212, C207, A207;2010 г.автомат, 1.8 л, бензин, седан196 000 км;42 710 р.;≈ 13 500 $;Минск;7 августа 2023
41;https://avcdn.av.by/advertpreview/0002/5028/5708.jpg;Ford F-150 XII;2010 г.автомат, 4.6 л, бензин, пикап122 000 км;101 238 р.;≈ 32 000 $;Мозырь;13 марта 2023
42;https://avcdn.av.by/advertpreview/0002/5163/8428.jpg;Nissan Qashqai I · Рестайлинг;2010 г.механика, 2.0 л, дизель, внедорожник 5 дв.260 000 км;41 444 р.;≈ 13 100 $;Минск;12 октября 2023
43;https://avcdn.av.by/advertpreview/0002/3275/8928.jpg;Citroen Nemo;2010 г.механика, 1.4 л, дизель, минивэн292 000 км;16 609 р.;≈ 5 250 $;Гродно;29 декабря
44;https://avcdn.av.by/advertpreview/0002/5457/2446.jpg;Hyundai Santa Fe CM · Рестайлинг, 7 мест;2010 г.автомат, 2.2 л, дизель, внедорожник 5 дв.142 000 км;47 456 р.;≈ 15 000 $;Солигорск;31 мая 2023
45;https://avcdn.av.by/advertpreview/0002/1711/7784.jpg;Kia Optima III;2010 г.автомат, 2.0 л, бензин, седан182 201 км;33 219 р.;≈ 10 500 $;Гродно;4 июля 2023
46;https://avcdn.av.by/advertpreview/0002/7748/0121.jpg;Kia Sorento II;2010 г.механика, 2.2 л, дизель, внедорожник 5 дв.390 000 км;55 365 р.;≈ 17 500 $;Минск;25 декабря
47;https://avcdn.av.by/advertpreview/0002/8120/5326.jpg;Skoda Fabia 5J;2010 г.механика, 1.4 л, бензин, универсал305 000 км;19 931 р.;≈ 6 300 $;Рогачев;11 января
48;https://avcdn.av.by/advertpreview/0002/2661/5052.jpg;Peugeot 3008 I;2010 г.механика, 1.6 л, дизель, внедорожник 5 дв.307 000 км;33 219 р.;≈ 10 500 $;Щучин;6 января
49;https://avcdn.av.by/advertpreview/0002/8351/6462.jpg;Opel Corsa D;2010 г.механика, 1.2 л, дизель, хэтчбек 3 дв.275 000 км;16 451 р.;≈ 5 200 $;Жабинка;вчера
50;https://avcdn.av.by/advertpreview/0002/6422/9834.jpg;Ford Mondeo IV;2010 г.механика, 2.0 л, бензин, седан161 000 км;23 728 р.;≈ 7 500 $;Могилев;20 октября 2023
51;https://avcdn.av.by/advertpreview/0002/8423/2210.jpg;Volkswagen Multivan T5 · Рестайлинг;2010 г.робот, 2.0 л, дизель, микроавтобус пассажирский326 000 км;70 551 р.;≈ 22 300 $;Давид-Городок;час назад
