;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8203/4002.jpg;Nissan X-Trail III (T32);2015 г.вариатор, 1.6 л, дизель, внедорожник 5 дв.138 000 км;54 574 р.;≈ 17 250 $;Лида;12 часов назад
1;https://avcdn.av.by/advertpreview/0002/7793/4852.jpg;Mitsubishi Outlander III · 2-й рестайлинг;2015 г.вариатор, 2.0 л, бензин, внедорожник 5 дв.133 269 км;49 037 р.;≈ 15 500 $;Минск;15 часов назад
2;https://avcdn.av.by/advertpreview/0002/7233/2543.jpg;Chevrolet Trax I;2015 г.автомат, 1.4 л, бензин, внедорожник 5 дв.95 000 км;40 179 р.;≈ 12 700 $;Минск;12 января
3;https://avcdn.av.by/advertpreview/0002/8105/5548.jpg;Mercedes-Benz GLA X156;2015 г.робот, 1.6 л, бензин, внедорожник 5 дв.140 000 км;71 500 р.;≈ 22 600 $;Бобруйск;10 января
4;https://avcdn.av.by/advertpreview/0002/6289/3692.jpg;Peugeot 308 T9;2015 г.механика, 1.6 л, дизель, универсал203 000 км;35 433 р.;≈ 11 200 $;Минск;11 ноября 2023
5;https://avcdn.av.by/advertpreview/0002/8342/4152.jpg;Renault Logan II;2015 г.механика, 1.6 л, бензин, седан81 270 км;26 259 р.;≈ 8 300 $;Светлогорск;6 дней назад
6;https://avcdn.av.by/advertpreview/0002/6638/8430.jpg;Porsche Macan I;2015 г.робот, 3.6 л, бензин, внедорожник 5 дв.114 800 км;110 413 р.;≈ 34 900 $;Минск;24 ноября 2023
7;https://avcdn.av.by/advertpreview/0002/6709/5625.jpg;Mercedes-Benz B-Класс W246 · Рестайлинг;2015 г.робот, 1.6 л, бензин, хэтчбек 5 дв.116 000 км;52 201 р.;≈ 16 500 $;Минск;3 часа назад
8;https://avcdn.av.by/advertpreview/0002/8094/9544.jpg;BMW 3 серия F30,F31 · Рестайлинг;2015 г.автомат, 2.0 л, дизель, универсал295 000 км;54 416 р.;≈ 17 200 $;Витебск;10 января
9;https://avcdn.av.by/advertpreview/0002/8300/3374.jpg;Renault Laguna III · Рестайлинг;2015 г.механика, 1.5 л, дизель, лифтбек196 500 км;32 744 р.;≈ 10 350 $;Минск;10 часов назад
10;https://avcdn.av.by/advertpreview/0002/7570/6970.jpg;BMW i3 I01;2015 г.автомат, 0.6 л, бензин (гибрид), хэтчбек 5 дв.85 096 км;48 405 р.;≈ 15 300 $;Минск;10 января
