;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/7845/7058.jpg;Mercedes-Benz GLC X253;2018 г.автомат, 2.0 л, бензин, внедорожник 5 дв.76 000 км;113 577 р.;≈ 35 900 $;Лида;12 часов назад
1;https://avcdn.av.by/advertpreview/0002/8219/0018.jpg;Opel Grandland X I;2018 г.автомат, 1.5 л, дизель, внедорожник 5 дв.138 000 км;66 596 р.;≈ 21 050 $;Барановичи;13 часов назад
2;https://avcdn.av.by/advertpreview/0002/8365/2805.jpg;BMW 5 серия G30, G31;2018 г.автомат, 3.0 л, дизель, седан110 000 км;164 512 р.;≈ 52 000 $;Могилев;8 часов назад
3;https://avcdn.av.by/advertpreview/0002/6946/9953.jpg;Volvo XC60 II;2018 г.автомат, 2.0 л, дизель, внедорожник 5 дв.97 993 км;118 006 р.;≈ 37 300 $;Могилев;21 декабря 2023
4;https://avcdn.av.by/advertpreview/0002/6957/4148.jpg;Volkswagen Tiguan II;2018 г.робот, 2.0 л, бензин, внедорожник 5 дв.53 000 км;99 973 р.;≈ 31 600 $;Минск;2 декабря 2023
5;https://avcdn.av.by/advertpreview/0002/7081/0541.jpg;Peugeot 5008 II, 7 мест;2018 г.автомат, 1.5 л, дизель, внедорожник 5 дв.172 500 км;72 417 р.;≈ 22 890 $;Гродно;3 дня назад
6;https://avcdn.av.by/advertpreview/0002/3461/3739.jpg;BMW X3 G01;2018 г.автомат, 3.0 л, бензин, внедорожник 5 дв.42 300 км;150 276 р.;≈ 47 500 $;Брест;26 августа 2023
7;https://avcdn.av.by/advertpreview/0002/8350/2826.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2018 г.автомат, 2.9 л, дизель, купе94 000 км;205 641 р.;≈ 65 000 $;Брест;вчера
8;https://avcdn.av.by/advertpreview/0002/8229/9811.jpg;Audi A5 F5;2018 г.робот, 2.0 л, бензин, лифтбек116 000 км;101 238 р.;≈ 32 000 $;Борисов;13 января
9;https://avcdn.av.by/advertpreview/0002/6349/2313.jpg;Mercedes-Benz E-Класс W213, S213, C238, A238;2018 г.автомат, 3.0 л, бензин, седан90 075 км;135 723 р.;≈ 42 900 $;Минск;14 января
10;https://avcdn.av.by/advertpreview/0002/8413/3051.jpg;Peugeot 5008 II, 7 мест;2018 г.автомат, 2.0 л, дизель, внедорожник 5 дв.157 415 км;70 709 р.;≈ 22 350 $;Борисов;4 часа назад
11;https://avcdn.av.by/advertpreview/0002/8175/3670.jpg;BMW M5 F90;2018 г.автомат, 4.4 л, бензин, седан91 000 км;249 932 р.;≈ 79 000 $;Минск;3 дня назад
12;https://avcdn.av.by/advertpreview/0002/8385/6556.jpg;Volkswagen Tiguan II;2018 г.автомат, 2.0 л, бензин, внедорожник 5 дв.87 000 км;74 347 р.;≈ 23 500 $;Минск;12 августа 2023
13;https://avcdn.av.by/advertpreview/0002/8339/9217.jpg;BMW X3 G01;2018 г.автомат, 2.0 л, бензин, внедорожник 5 дв.62 087 км;104 370 р.;≈ 32 990 $;Минск;9 часов назад
14;https://avcdn.av.by/advertpreview/0002/5203/1421.jpg;Audi A4 B9;2018 г.робот, 2.0 л, дизель, универсал114 000 км;71 183 р.;≈ 22 500 $;Минск;12 часов назад
15;https://avcdn.av.by/advertpreview/0002/6533/0677.jpg;Jeep Wrangler JL;2018 г.автомат, 2.0 л, бензин, внедорожник 5 дв.18 000 км;131 294 р.;≈ 41 500 $;Минск;14 часов назад
16;https://avcdn.av.by/advertpreview/0002/7511/9684.jpg;BMW X6 F16;2018 г.автомат, 3.0 л, бензин, внедорожник 5 дв.59 500 км;154 389 р.;≈ 48 800 $;Минск;5 дней назад
17;https://avcdn.av.by/advertpreview/0002/8105/5073.jpg;Volvo V90 II;2018 г.автомат, 2.0 л, дизель, универсал130 500 км;92 038 р.;≈ 29 092 $;Минск;вчера
18;https://avcdn.av.by/advertpreview/0002/7897/1595.jpg;Honda Civic X;2018 г.автомат, 1.6 л, дизель, хэтчбек 5 дв.80 000 км;71 183 р.;≈ 22 500 $;Минск;5 января
19;https://avcdn.av.by/advertpreview/0002/8028/2608.jpg;BMW X3 G01;2018 г.автомат, 2.0 л, дизель, внедорожник 5 дв.102 000 км;110 698 р.;≈ 34 990 $;Гродно;вчера
20;https://avcdn.av.by/advertpreview/0002/3685/1341.jpg;Audi A4 B9;2018 г.робот, 2.0 л, дизель, универсал220 000 км;68 969 р.;≈ 21 800 $;Слуцк;16 декабря 2023
