;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8069/3042.jpg;Citroen C5 Aircross I;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.134 000 км;59 952 р.;≈ 18 950 $;Лида;11 часов назад
1;https://avcdn.av.by/advertpreview/0002/8025/6052.jpg;Peugeot 3008 II;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.167 000 км;68 020 р.;≈ 21 500 $;Лида;2 дня назад
2;https://avcdn.av.by/advertpreview/0002/8229/8856.jpg;Peugeot 5008 II, 7 мест;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.122 000 км;71 974 р.;≈ 22 750 $;Лида;4 часа назад
3;https://avcdn.av.by/advertpreview/0002/6802/5174.jpg;Peugeot 508 II;2019 г.автомат, 1.5 л, дизель, универсал167 000 км;63 116 р.;≈ 19 950 $;Солигорск;3 часа назад
4;https://avcdn.av.by/advertpreview/0002/7438/7710.jpg;Mercedes-Benz C-Класс W205, S205, C205, A205 · Рестайлинг;2019 г.автомат, 2.0 л, дизель, универсал170 000 км;81 940 р.;≈ 25 900 $;Речица;вчера
5;https://avcdn.av.by/advertpreview/0002/6957/8508.jpg;Volkswagen Passat B8;2019 г.робот, 1.6 л, дизель, универсал189 000 км;60 107 р.;≈ 18 999 $;Слуцк;3 декабря 2023
6;https://avcdn.av.by/advertpreview/0002/7894/6516.jpg;Peugeot 5008 II, 7 мест;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.154 000 км;64 856 р.;≈ 20 500 $;Минск;9 часов назад
7;https://avcdn.av.by/advertpreview/0002/7627/7694.jpg;Peugeot 3008 II;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.138 000 км;63 907 р.;≈ 20 200 $;Брест;10 часов назад
8;https://avcdn.av.by/advertpreview/0002/8217/7529.jpg;Citroen C5 Aircross I;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.103 850 км;62 009 р.;≈ 19 600 $;Пинск;6 дней назад
9;https://avcdn.av.by/advertpreview/0002/8127/3659.jpg;Peugeot 3008 II;2019 г.механика, 1.5 л, дизель, внедорожник 5 дв.142 000 км;63 116 р.;≈ 19 950 $;Минск;3 дня назад
10;https://avcdn.av.by/advertpreview/0002/8421/7755.jpg;Peugeot 3008 II;2019 г.автомат, 2.0 л, дизель, внедорожник 5 дв.154 700 км;76 720 р.;≈ 24 250 $;Минск;час назад
11;https://avcdn.av.by/advertpreview/0002/7850/9507.jpg;Audi A4 B9;2019 г.робот, 2.0 л, дизель, универсал210 000 км;73 398 р.;≈ 23 200 $;Брест;2 часа назад
12;https://avcdn.av.by/advertpreview/0002/6939/9220.jpg;Suzuki Vitara IV · Рестайлинг;2019 г.автомат, 1.0 л, бензин (метан), внедорожник 5 дв.75 000 км;61 059 р.;≈ 19 300 $;Минск;7 дней назад
13;https://avcdn.av.by/advertpreview/0002/8367/2089.jpg;Mercedes-Benz C-Класс W205, S205, C205, A205 · Рестайлинг;2019 г.автомат, 1.6 л, дизель, универсал228 526 км;75 612 р.;≈ 23 900 $;Россь;5 часов назад
14;https://avcdn.av.by/advertpreview/0002/8174/0045.jpg;Volkswagen Passat B8 · Рестайлинг;2019 г.робот, 2.0 л, дизель, универсал195 000 км;67 387 р.;≈ 21 300 $;Минск;8 часов назад
15;https://avcdn.av.by/advertpreview/0002/7036/4203.jpg;Citroen DS7 Crossback;2019 г.механика, 1.5 л, дизель, внедорожник 5 дв.141 000 км;73 872 р.;≈ 23 350 $;Полоцк;9 часов назад
16;https://avcdn.av.by/advertpreview/0002/8362/4859.jpg;Peugeot 5008 II, 7 мест;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.138 000 км;61 218 р.;≈ 19 350 $;Минск;9 часов назад
17;https://avcdn.av.by/advertpreview/0002/8173/4480.jpg;Chevrolet Equinox III;2019 г.автомат, 2.0 л, бензин, внедорожник 5 дв.86 000 км;69 285 р.;≈ 21 900 $;Минск;13 января
18;https://avcdn.av.by/advertpreview/0002/8362/8315.jpg;Citroen C5 Aircross I;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.155 000 км;60 743 р.;≈ 19 200 $;Минск;10 часов назад
19;https://avcdn.av.by/advertpreview/0002/8065/8349.jpg;Citroen C5 Aircross I;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.151 200 км;59 003 р.;≈ 18 650 $;Минск;10 часов назад
20;https://avcdn.av.by/advertpreview/0002/7490/8916.jpg;Peugeot 3008 II;2019 г.автомат, 1.5 л, дизель, внедорожник 5 дв.178 511 км;71 025 р.;≈ 22 450 $;Минск;12 часов назад
21;https://avcdn.av.by/advertpreview/0002/7487/4470.jpg;Chevrolet Bolt I;2019 г.автомат, электро, хэтчбек 5 дв., запас хода 450 км43 433 км;71 152 р.;≈ 22 490 $;Минск;13 часов назад
22;https://avcdn.av.by/advertpreview/0002/8001/6375.jpg;Chevrolet Equinox III;2019 г.автомат, 1.5 л, бензин, внедорожник 5 дв.82 000 км;58 528 р.;≈ 18 500 $;Гродно;14 часов назад
23;https://avcdn.av.by/advertpreview/0002/3280/6538.jpg;Renault Talisman I;2019 г.механика, 1.7 л, дизель, седан70 000 км;58 370 р.;≈ 18 450 $;Брест;14 часов назад
24;https://avcdn.av.by/advertpreview/0002/8101/9901.jpg;Peugeot 508 II;2019 г.автомат, 1.5 л, дизель, лифтбек184 000 км;61 692 р.;≈ 19 500 $;Жодино;вчера
25;https://avcdn.av.by/advertpreview/0002/8421/7755.jpg;Peugeot 3008 II;2019 г.автомат, 2.0 л, дизель, внедорожник 5 дв.154 700 км;76 720 р.;≈ 24 250 $;Минск;час назад
26;https://avcdn.av.by/advertpreview/0002/7850/9507.jpg;Audi A4 B9;2019 г.робот, 2.0 л, дизель, универсал210 000 км;73 398 р.;≈ 23 200 $;Брест;2 часа назад
27;https://avcdn.av.by/advertpreview/0002/6939/9220.jpg;Suzuki Vitara IV · Рестайлинг;2019 г.автомат, 1.0 л, бензин (метан), внедорожник 5 дв.75 000 км;61 059 р.;≈ 19 300 $;Минск;7 дней назад
