;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8223/3064.jpg;Citroen C4 Spacetourer ;2019 г.автомат, 1.5 л, дизель, минивэн142 000 км;53 625 р.;≈ 16 950 $;Барановичи;5 часов назад
1;https://avcdn.av.by/advertpreview/0002/8169/3640.jpg;Peugeot 308 T9 · Рестайлинг;2019 г.механика, 1.5 л, дизель, универсал168 000 км;42 077 р.;≈ 13 300 $;Лида;3 дня назад
2;https://avcdn.av.by/advertpreview/0002/8226/0491.jpg;Citroen C4 Spacetourer ;2019 г.автомат, 1.5 л, дизель, минивэн161 000 км;46 506 р.;≈ 14 700 $;Лида;4 часа назад
3;https://avcdn.av.by/advertpreview/0002/8092/1606.jpg;Peugeot 308 T9 · Рестайлинг;2019 г.автомат, 1.5 л, дизель, универсал153 000 км;47 297 р.;≈ 14 950 $;Лида;9 часов назад
4;https://avcdn.av.by/advertpreview/0002/8292/9361.jpg;Opel Astra K;2019 г.механика, 1.6 л, дизель, универсал154 000 км;43 659 р.;≈ 13 800 $;Лида;3 дня назад
5;https://avcdn.av.by/advertpreview/0002/8224/2540.jpg;Peugeot 508 II;2019 г.механика, 1.5 л, дизель, лифтбек145 000 км;52 992 р.;≈ 16 750 $;Барановичи;5 часов назад
6;https://avcdn.av.by/advertpreview/0002/8225/2770.jpg;Opel Astra K;2019 г.механика, 1.6 л, дизель, универсал168 000 км;40 495 р.;≈ 12 800 $;Барановичи;5 часов назад
7;https://avcdn.av.by/advertpreview/0002/7986/6659.jpg;Renault Kaptur I;2019 г.вариатор, 1.6 л, бензин, внедорожник 5 дв.85 019 км;48 405 р.;≈ 15 300 $;Минск;4 дня назад
8;https://avcdn.av.by/advertpreview/0002/8410/8484.jpg;Ford Focus IV;2019 г.механика, 1.5 л, дизель, универсал183 000 км;46 506 р.;≈ 14 700 $;Барановичи;2 января
9;https://avcdn.av.by/advertpreview/0002/7195/3034.jpg;Ford Focus IV;2019 г.механика, 1.5 л, дизель, универсал192 000 км;47 772 р.;≈ 15 100 $;Барановичи;17 декабря 2023
10;https://avcdn.av.by/advertpreview/0002/7917/2481.jpg;Chevrolet Malibu IX · Рестайлинг;2019 г.вариатор, 1.5 л, бензин, седан120 000 км;47 456 р.;≈ 15 000 $;Минск;1 января
11;https://avcdn.av.by/advertpreview/0002/8205/2932.jpg;Citroen C4 Grand Spacetourer, 7 мест;2019 г.механика, 1.5 л, дизель, минивэн180 000 км;47 772 р.;≈ 15 100 $;Лида;11 часов назад
12;https://avcdn.av.by/advertpreview/0002/8308/8017.jpg;Opel Insignia II;2019 г.автомат, 1.6 л, дизель, универсал183 650 км;56 943 р.;≈ 17 999 $;Минск;вчера
