;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/6742/7092.jpg;Volkswagen Multivan T6.1;2020 г.автомат, 2.0 л, дизель, микроавтобус пассажирский100 000 км;158 182 р.;≈ 49 999 $;Минск;2 дня назад
1;https://avcdn.av.by/advertpreview/0002/8124/8082.jpg;BMW X5 G05;2020 г.автомат, 3.0 л, дизель, внедорожник 5 дв.99 000 км;230 634 р.;≈ 72 900 $;Брест;7 часов назад
2;https://avcdn.av.by/advertpreview/0002/7443/8923.jpg;Mercedes-Benz V-Класс W447;2020 г.автомат, 2.0 л, дизель, микроавтобус пассажирский43 000 км;234 114 р.;≈ 74 000 $;Минск;16 декабря 2023
3;https://avcdn.av.by/advertpreview/0002/6859/6386.jpg;Lincoln MKZ II · Рестайлинг;2020 г.автомат, 2.0 л, бензин, седан15 000 км;88 267 р.;≈ 27 900 $;Витебск;3 дня назад
4;https://avcdn.av.by/advertpreview/0002/7941/8531.jpg;GMC Terrain II;2020 г.автомат, 1.5 л, бензин, внедорожник 5 дв.91 000 км;66 438 р.;≈ 21 000 $;Брест;6 января
5;https://avcdn.av.by/advertpreview/0002/8189/5078.jpg;Opel Grandland X I;2020 г.автомат, 1.5 л, дизель, внедорожник 5 дв.140 000 км;61 692 р.;≈ 19 500 $;Минск;3 дня назад
6;https://avcdn.av.by/advertpreview/0002/8306/7099.jpg;Peugeot 3008 II;2020 г.автомат, 1.5 л, дизель, внедорожник 5 дв.125 888 км;66 280 р.;≈ 20 950 $;Минск;только что
7;https://avcdn.av.by/advertpreview/0002/8145/5642.jpg;Peugeot 3008 II;2020 г.автомат, 1.5 л, дизель, внедорожник 5 дв.129 150 км;61 376 р.;≈ 19 400 $;Минск;4 часа назад
8;https://avcdn.av.by/advertpreview/0002/8102/3290.jpg;BMW 5 серия G30, G31 · Рестайлинг;2020 г.автомат, 3.0 л, дизель, универсал108 500 км;156 603 р.;≈ 49 500 $;Минск;4 часа назад
9;https://avcdn.av.by/advertpreview/0002/7943/4761.jpg;Geely Atlas I;2020 г.автомат, 2.4 л, бензин, внедорожник 5 дв.28 000 км;54 700 р.;≈ 17 290 $;Минск;10 часов назад
