;image;car_name;car_info;price_in_byn;price_in_usd;city;date
0;https://avcdn.av.by/advertpreview/0002/8183/4030.jpg;Geely Emgrand X7 I · 2-й рестайлинг;2020 г.механика, 1.8 л, бензин, внедорожник 5 дв.32 465 км;45 874 р.;≈ 14 500 $;Минск;2 дня назад
1;https://avcdn.av.by/advertpreview/0002/7772/5028.jpg;Volkswagen Caddy MAXI IV;2020 г.механика, 2.0 л, дизель, минивэн362 750 км;71 183 р.;≈ 22 500 $;Минск;13 часов назад
2;https://avcdn.av.by/advertpreview/0002/8095/3444.jpg;Volkswagen Multivan T6.1;2020 г.робот, 2.0 л, дизель, микроавтобус пассажирский320 704 км;148 694 р.;≈ 47 000 $;Минск;6 часов назад
3;https://avcdn.av.by/advertpreview/0002/7564/3450.jpg;Renault Duster I · Рестайлинг;2020 г.механика, 1.5 л, дизель, внедорожник 5 дв.67 924 км;56 947 р.;≈ 18 000 $;Минск;13 часов назад
4;https://avcdn.av.by/advertpreview/0002/8303/6824.jpg;Mazda CX-5 II;2020 г.механика, 2.2 л, дизель, внедорожник 5 дв.145 456 км;65 489 р.;≈ 20 700 $;Минск;2 дня назад
5;https://avcdn.av.by/advertpreview/0002/0640/0421.jpg;Nissan Murano III (Z52) · Рестайлинг;2020 г.вариатор, 3.5 л, бензин, внедорожник 5 дв.95 000 км;80 674 р.;≈ 25 500 $;Минск;2 января
6;https://avcdn.av.by/advertpreview/0002/8131/4333.jpg;Volkswagen Golf VII · Рестайлинг;2020 г.механика, 1.6 л, дизель, универсал173 555 км;50 936 р.;≈ 16 100 $;Минск;5 дней назад
7;https://avcdn.av.by/advertpreview/0002/7958/2976.jpg;Renault Megane IV · Рестайлинг;2020 г.механика, 1.5 л, дизель, хэтчбек 5 дв.152 000 км;48 721 р.;≈ 15 400 $;Минск;4 января
8;https://avcdn.av.by/advertpreview/0002/8055/8018.jpg;Volkswagen Passat B8 · Рестайлинг;2020 г.робот, 2.0 л, дизель, универсал180 000 км;83 205 р.;≈ 26 300 $;Брест;9 января
9;https://avcdn.av.by/advertpreview/0002/8255/5522.jpg;Citroen C4 Grand Picasso II · Рестайлинг, 7 мест;2020 г.механика, 1.2 л, бензин, минивэн177 000 км;45 557 р.;≈ 14 400 $;Минск;4 часа назад
10;https://avcdn.av.by/advertpreview/0002/7515/5889.jpg;Hyundai i30 III · 2-й рестайлинг;2020 г.механика, 1.5 л, бензин, хэтчбек 5 дв.108 707 км;45 557 р.;≈ 14 400 $;Минск;5 часов назад
11;https://avcdn.av.by/advertpreview/0002/7653/2992.jpg;Geely Emgrand  I · Рестайлинг;2020 г.вариатор, 1.8 л, бензин, седан63 000 км;31 637 р.;≈ 10 000 $;Минск;7 часов назад
